  always ,  Reading #zizek before bed is always a recipe for a nice 
  like ,  @Molly_Bergen shutup-shutup-shutup! this must be like how the wizard of oz felt when the curtain got pulled back. #sarcasm.
  like ,  Yes tell me more of who gucci mane be fucking I would really like to know... #sarcasm
  like ,  I just love when people get in front of me and stop or walk like they have all freakin day to get where theyre going #Sarcasm
  like ,  Looks like they're trying to flog copies of @caitlinmoran's new book in the Harlequin Watford today. It's swamped #sarcasm
  like ,  @TakeFlight009 so funny .! Like Comedy Central funny .! #sarcasm
  like ,  Why Must My Whole Week Get Fucked Now
  like ,  @MikeDarnay Like a young player has a shot at HCDBs Team USA. Shake your head
  like ,  @dvescott nothing gets pnc rockin like Don't Stop Believin' 
  like ,  so is there like a 2 hr delay or something back in AL #sarcasm
  like ,  Babies who wake up for a quick snack 30 minutes before mama's alarm goes off...anyone know a baby like that? I sure don't. #sarcasm
  like ,  This doesn't sound like me at all
  like ,  I feel like I'm 15 again. Won't be able to drive until Monday....this is gonna be awesome #sarcasm
  like ,  2ma I'm gone be walking in like hire me bitches #sarcastic
  like ,  The one in which i like the popcorn and drinks more #sarcasm #OneOfMyFavoriteMoviesIs
  like ,  Thanks radio for playing every song I like over and over till it gets old. #sarcasm
  like ,  ASBOs for terrorists? Yes
  like ,  Well looks like @AlexOrionHoward will be my detention buddy todday. #yay #sarcasm
  like ,  I'm spontaneous...like a stroke! #DarkProjection #funny #original #ludicrous #hysterical #hilarious #joke #gag #comedy #sarcastic
  like ,  To the guy smoking his electronic cigarette next to me in Pray Harold just wanna say you're like the coolest person ever #sarcasm
  like ,  @kenearlys that sounds like a seriously epic press conference #sarcasm #monkeano
  like ,  I'd like to thank all my friends for giving me plans tonight #sarcasm???
  like ,  I also miss being treated like crap. I miss being lied to. I miss not knowing if you'll be there when I need you. #Sarcasm
  like ,  #Pirates &amp; #Steelers both playing like assholes. Awesome end to a fucking terrible Monday. #Sarcasm
  like ,  @DaleEArnold I don't know
  like ,  And she melts like candy in his arms!!! How sweet. #sarcasm #Scandal
  like ,  OPI created a Fifty Shades of Grey collection for V Day. Because nothing says romance like the color Cement the Deal on your nails #sarcasm
  like ,  And of course my morning starts out like this.. it's gonna be an amazing day! #sarcasm
  like ,  Look at me and my sweet guy! ;)
  like ,  @amandahancer I won't. I only like you. Love is too far. #Sarcasm
  like ,  let's be like Canada and not have a Department of Education whoa there friend you don't want to get too socialist #sarcasm
  like ,  @andybankertv @shawndreathomas @angwxgrl @fox2now you guys look like you're just freezing!  #sarcasm #noempathy
  like ,  Like don't you want what I've had? #sarcasm
  like ,  @MrBU_5ix Way to give about 42% tonight. You played like u wanted 2 avoid injury &amp; not hurt your draft status. What a team player! #sarcasm
  like ,  Seems like I'm gonna have to launch myself out of bed again. That's always fun. #sarcasm
  like ,  Nothing like a ton of good old fashioned stress eating! #sarcasm
  like ,  Loved waking up at 6. 30 to Rafiki scratching my door like crazy #not #sarcasm
  like ,  RT @_jaylathomas.  I like how people text me back.. #sarcasm
  like ,  Cody likes his leash. It's all good lol. #sarcasm
  like ,  My mum knows how to make me feel better like #sarcasm
  like ,  I don't like to eat curry. Should Curry be illegal India? If I don't like it
  like ,  @AtotheJ totally sounds like somebody if be friends with. #sarcasm
  like ,  @RealSkipBayless Imagine the Cowboys record if Orton started the whole year....I bet like 8-7!  #sarcasm
  like ,  It's Ok people we have sonogo &amp; diaby still 2come back they should make a world of difference. They will be just like a new signing #Sarcasm
  like ,  I just LOVE being forgotten about. It's only like
  like ,  I still remember 2014 like it was just yesterday.. Whew
  like ,  Nothing like spending a Friday night at home because you have a sore throat and don't feel like doing anything #sarcasm
  like ,  Would you like a bag? 
  like ,  Well looks like England will smash their group especially with the superstars like Milner and Ashley Young #sarcasm
  like ,  How is it that a dime piece like this can still be single? #sarcasm #rhetoricalquestion #stillbadass http. //t.co/SaQIHdxYXm
  like ,  Watching tutorials &amp; I find a tutorial of how to do your make-up like a witch. Convenient. Thanks YouTube! #sarcasm http. //t.co/IAVOwENFux
  like ,  @AngeeeCee well you gotta at least like #Sarcasm
  like ,  I feel like what I really need in my life is a tongue-in-cheek emoji. #sarcasm
  like ,  I'm in sixth form now and yet the boys dot look like that #yay #sarcasm #onedirection http. //t.co/M6r970lz1N
  like ,  I didn't like smaug. He was big....evil.....snarly...and liked gold..... #sarcasm
  like ,  Hey I saw you last night perform at the Pavilions Haha because I look like @JakeBugg! You're so funny! #sarcasm
  like ,  Ah man
  like ,  I like the Twins' odds against Verlander tonight #sarcasm
  like ,  Oh darn it looks like I'm gonna be late for chez again #sarcasm
  like ,  Omg 10 likes on a selfie #facebookfamous ( #sarcasm )
  like ,  Yeah moyes is looking like a good replacement for sir alex ferguson #sarcasm
  like ,  @BrianCarneySkyS surly Brough did't gain control of the ball before he touched down like Menzies &amp; McGuire #sarcasm
  like ,  The thing I like about Gary Megson is his boundless energy and enthusiasm #SoccerSaturday #sarcasm
  like ,  @_katrinacannon let's go to whitmann and yea same haha I look like a thousand bucks #sarcasm
  like ,  Harbaugh seems like the kinda guy to take high expectations and criticism well once reality sets in. #sarcasm
  like ,  Looks like I'm bussing it in the rain -___- yay! #sarcasm
  like ,  @BrooklandsGP It's like the tunnel at a football stadium etc. that the players come out from for the match. #genius #sarcasm
  like ,  Looks like Dallas tackling is spot on! #sarcasm #cowgirls #DETvsDAL
  like ,  I just feel like Peeta is more intentional with is pursual of Katniss but Gale just really guards her heart #CatchingFire #debate #sarcasm
  like ,  @kylejmetzger It's not like the USA is the ONLY first world country that doesn't mandate this #sarcasm http. //t.co/4BJW1nf9lV
  like ,  Looks like the indicator fairy was out last night robbing bulbs. #sarcasm
  like ,  Nothing makes me want to buy a book like the author posting on my wall with a variation of HEY NEW FRIEND
  like ,  I'd like to thank the @RealCdnSS at heritage meadows in #yyc for giving us #rotten mandarin #oranges for #Christmas. I'm so happy #Sarcasm
  like ,  I love when people are always acting like their poor as fuck and then go out and buy themselves ridiculous things #sarcastic
  like ,  I'm just so happy I get to wake up early &amp; run 5 miles in the morning
  like ,  Those two go together like water and oil #sarcasm
  like ,  RT @greg_r_thompson.  It looks like Tulsa showed up for this game. #sarcasm
  like ,  Looks like a good night of sleep is in store for me... #sarcasm #fuck
  like ,  I love it when you ignore me its like my bread and butter in life. #Whatever #Sarcasm
  like ,  Nothing better like a wonderful sister you can actually look up to #sarcasm
  like ,  Looks like its going to be a huge pain in the ass to be home my last day. #soexcited #sarcasm
  like ,  I like how people act like high school is so hard. #gtfo #sarcasm
  like ,  I feel like dog poop
  like ,  @Bipartisanism Nothing like a comic sans typeface to make people take you seriously. #sarcasm
  like ,  sumtimes i wana b a porn toon animal so my dick n balls r safe in my body n jus unzip my crotch they pop out like a #jackindabox #sarcasm
  like ,  Y'all Skins fans are sooo loyal.... Just like the people that live there... Lmfao #sarcasm
  like ,  @TheOldPostRoad @CarofineJones She'll never know it is there...sort of like Jack's back brace #sarcasm #blessher
  like ,  Yeah
  like ,  @CiaraNolan9 that's awfully brave if you bi! Overcoming fears like? I'm only home now. Good day overall for kill #sarcasm
  like ,  I would like to thank the girl who bagged my eggs w/ my sauce. I see great things in her future. She will clearly go far in life. #sarcasm
  like ,  Mondays go something like this... of course he's married! Here's another parking ticket!...Why wouldn't there be interest?!?! #sarcasm
  like ,  I love how we act like strangers now. #sarcasm
  like ,  @joereedy but nothing gets you jacked up for a game like listening to Katy Perry #sarcasm
  like ,  Oh yeah thank you mom counting down the days until I leave makes me feel better and not like I'm gonna cry at all. #sarcasm #DuhAndOrHello
  like ,  I really do like you #sarcasm
  like ,  RT @iamJordan1.  I just love sending texts &amp; not getting a response... It's like having a conversation with myself! #sarcasm
  like ,  @iamSivN.  Zuma be like http. //t.co/eE0nQp97MF RT classic!! Makes RSA such a beautiful country! #sarcasm #ponder #loveSA
  like ,  Chelsea stats .  0 shots on target.. why dont u play like that ALL THE TIME #sarcasm
  like ,  Looks like a good swing in his AVI #sarcasm
  like ,  Today is the shortest day of the year. It certainly feels like it
  like ,  Another airplane just disappeared
  like ,  @LRoz11 @MaryMac_III I'd like to troll this phone convo. #Sarcastic
  like ,  @Metrorailinfo There's nothing like sitting in a 90 minute delay with Mumbles McGhee on the train PA explaining the issue #sarcasm
  like ,  Nothing like a great #ThursdayNightFootball matchup between the #Titans and #Jaguars to celebrate the end of the semester. #sarcasm
  like ,  RT @vtbiogirl.  Frozen-solid in Buffalo. Also reading HP Lovecraft because I like giving myself nightmares. #sarcasm
  like ,  I like how #oomf likes my pics on Instagram but won't reply to my texts #sarcasm
  like ,  I feel like barfing
  like ,  Nothing like a little pressure to get me into studying harder. #sarcasm #nogetout
  like ,  @megobits you mean you didn't like that awesome turtle neck?? #sarcasm
  like ,  I do just love being at work when it's like this in the mornings! #sarcasm #farmlife #4. 55am http. //t.co/ObC2fOBK2k
  like ,  I can't help but feel like Black Friday is a little racist #sarcasm
  like ,  @jbeebs344 @ShimonPro @ryanjreilly that's sounds like a good way to get facts #sarcasm
  like ,  And I feel like shit...today keeps getting better and better #sarcasm
  like ,  Wow I feel like a million bucks! #sarcasm #ugh #idontfeellikeamillionbucks
  like ,  What does ios7 look like? #sarcasm
  like ,  I love getting like 6 notifications from Facebook about candy crush. #sarcasm #IDontWannaSeeThatBullshit
  like ,  Wait
  like ,  @thejoeball @nprnews the guy likes to get wasted and smoke crack. What's the big deal? #sarcasm
  like ,  it's days like today I'm so happy my truck doesn't have air conditioning #sarcasm
  like ,  Someday I will write a post on evaluating markets/companies like this
  like ,  @iH8sn0w !!! That looks like code. You must be hax0r. Here. Have my iphone and some money
  like ,  RT @RazeenHR.  @HadiqaJamal that doesn't make you sound like a creeper at all #Sarcasm
  like ,  RT @Leelo003.  I like it when you don't respond #sarcasm
  like ,  Gosh
  like ,  When georgina came out of presentation eve and was like was that enjoyable and i was just like yeah thoroughly enjoyable #sarcasm
  like ,  @rwgriffing @MotorolaSupport It seems like they've got everything in order over at @Motorola. #sarcasm
  like ,  .@YouTube Thanks for recommending MY OWN VIDEOS TO ME! It's not like I edited and uploaded them and have no idea what happens! #Sarcasm
  like ,  RT @Morris2103.  Arriva are on top form tonight like #sarcasm
  like ,  @Jewtastic @BaraculaJ aaaww yiss! Like free healthcare? #cantwait #sarcasm #pivotfromlatestscandal
  like ,  Nothing like registering for classes next semester to get your day started off right! #sarcasm #idontwantto
  like ,  @msvanilla711 @ZepLyrics It's because people prefer better music
  like ,  I don't care if you don't like it...If we're watching a musical and K know the songs I WILL SIN ALONG! &lt;3 #YOLO #sarcasm
  like ,  Of course the weather is acting up right now. It's not like I have a two hour driving lesson or anything... #sarcasm #thissucks #mondayblues
  like ,  I mean I only had 3 cups of coffee today
  like ,  Nothing like a good game of phone tag .... Oh well. #sarcasm #reasonsitext
  like ,  damn seems like Walt just got all the luck smh .#sarcasm  #breakingbad
  like ,  Everyone is talking about how much they love iOS 7
  like ,  What it looks like as a presenter here at the #NSCA conference. Good thing I tanned this week! #sarcasm http. //t.co/xeWajqO6Hh
  like ,  Big thanks to everyone online  who posted pics today. I had no idea what Thanksgiving food looked like. #sarcasm
  like ,  11-1 (7-1) SEC east champs. Just like I predicted. #sarcasm
  like ,  I just love people who lie
  like ,  RT @AndrewHarts.  EVENFLOOOOOW hmmmm hmm hmmm like butterfly..the lyrics go something like that right? #WhatDoesEddieSay #sarcasm
  like ,  @StarTribune education!? I hope he tackles the tough issues like 11am football games #sarcasm
  like ,  @MiaLindeque Obama sounds like a drama queen... ;o) #sarcasm
  like ,  @therealbenedikt sounds like a terrible life.. #sarcasm
  like ,  @itvnews oh thank gosh
  like ,  I feel like a top priority #sarcasm
  like ,  Know what I'd like? Another chill
  like ,  RT @DodgerAddiction.  Nothing like watching your favorite baseball team under perform in the playoffs. #sarcasm #justdoit
  like ,  So why is 51st and Warman Rd. like a skating rink? It's obviously because Atch and company are doing such a wonderful job. #YXE #sarcasm
  like ,  @kmad316 @SportsNBabes @EdmontonOilers  with a 4+GAA were still in trouble. I like the stand around and look at the puck defence.
  like ,  @mollyfeesh shut up. We can't all be perfect like you.. #sarcasm #jk #iloveyou #hastagsfordayz #lol #cantstopwontstop #imdone
  like ,  I love the nights like tonight. #sarcasm
  like ,  I love this freezing cold weather! It feels like being on the Titanic.. #sarcasm
  like ,  nothing like getting a quote for something and having the actual price double. so glad to fund my vet's kid's future tuition. #sarcasm
  like ,  EA servers now work after like 5 days well done EA @EASPORTSFIFA #sarcasm
  like ,  @NiamhS13 Jesus that's wicked interesting. Like you could either be right energetic or you might not want to do anything at all? #Sarcasm
  like ,  @LadyBrandi I am and it does. 7-10 business days until it's resolved. It's like a Christmas miracle! #sarcasm #scorn
  like ,  .@Lisa_Wilkinson expects a thorough description of what clothing styles people don't like #sarcasm #olle #utsjournalism
  like ,  Don't you just love those people who lie? It's like the best feeling in the world to know that someone is lying to you. #sarcasm
  like ,  i like  way the way friends become strangers #SARCASM
  like ,  @GabyHerstik that's our only problem. And you girls complain about easy things like child birth. #sarcasm
  like ,  RT @GriffithJ.  Nothin like a good rom-com to make you feel better about being single... #sarcasm #wheresmyboy #cantstopwatching
  like ,  Hahaha I like it when loose girls stay true and stay loose on and off twitter ..integrity!!!!!!!! #sarcasm
  like ,  Your all so cool posting videos and photos of yourself getting drunk at schoolies I wish I was more like you #sarcasm
  like ,  @nprmonkeysee Comcast is awesome like that #sarcasm
  like ,  RT @ohashily.  I love how all of my work clothes smell like food no matter how many times I wash them #sarcasm #smellsdisgusting
  like ,  Well
  like ,  RT @chiIIdog.  hmm. #InternationalMensDay? definitely sounds like a cool good thing and not a huge fail. #sarcasm #idontgiveafuck
  like ,  @BackRowBaptist what d'you say? surely we're all like John
  like ,  omg I wish I was a dirty whore like youuu 
  like ,  Love me like a soul mate
  like ,  @spectaeyeon you like to scare people? Really? #sarcastic
  like ,  Stop stifling my creative ability! I made this Facebook so you could like everything I post!!!! #RandomThought #sarcasm
  like ,  OMG you drive a black matted convertible Ferrari that makes a lot of noise?!?! you must be like sooooooooo cool. 
  like ,  RT @FPSCanadaEH.  @CWarner8 @snarkfetish but like if we could like.... Regulate that boot we could be okay though... #sarcasm
  like ,  Yay nothing goods on so lets watch Mamma Mia and hear Amanda Seyfied sing like Snow White! #Sarcasm
  like ,  Proper fab when someone acts like they actually want to speak to you for a few days then fuck off #Sarcasm
  like ,  @IPro_OvKi @lunaluvbad @CrsParasite weird cause it's not like he's never won an event #sarcasm
  like ,  In honour of U.S. Thnksgvg
  like ,  Babysitting while feeling like total crap is just great . ( #yeahright #sarcasm
  like ,  Christmas dinner at work tomorrow! Nothing I like more that turkey ham
  like ,  Watching #Oblivion finally.. It's like watching a real #NavySEAL battling real #Terrorists! You're amazing @TomCruise.. #Sarcasm
  like ,  @ClayTravisBGID That's just like you Clay. So arrogant you think what you say could effect a football game thousands of miles away #Sarcasm
  like ,  So it looks like RGIII really deserved all that hype #sarcasm
  like ,  Wake up early go to 4-hour-exam practice then go to school and stay there forever! Sounds like fun!
  like ,  It's a good thing I look like death today.
  like ,  Feels like -800 outside and I walked to work. Going to be a fabulous day! #sarcasm
  like ,  Hahahahaha manu is so good at things! Like ginobili is a great all around basketball player! NOT #sarcasm #overrated #dumb #balding
  like ,  Imagine that
  like ,  @eric_amp that's chill and not like the most important driving skill or anything #sarcasm
  like ,  RT @lopezjuliet.  Well
  like ,  @stangiv I don't like your #sarcasm
  like ,  Living life in the library is like living on the edge. so hardcore. #sarcasm
  like ,  Oh wow
  like ,  Northern Illinois' jerseys are neat
  like ,  I'd like to thank the asu bookstore for making me rich and allowing me to buy my lunch today #threedollars #sarcasm
  like ,  Real MVP like performance here KD... #sarcasm
  like ,  @NintendoIsBestt I mean it
  like ,  @injuryexpert its very lifelike and plays like regular grass #sarcasm #worststadiuminmlb
  like ,  Oh! You're right the Express Line 1-12 Items sign does look like it says 112 items #sarcasm
  like ,  @IamNarb Looks like the item is no longer available
  like ,  It looks like it might be getting bad out. You'd think the news might have mentioned something. #sarcasm http. //t.co/Lsv9PcZnUA
  like ,  I wish the Cardinals would grow up and stop acting like Mickey Mouse in the dugout.  That cop's just trying to do his job.  #sarcasm #smdh
  like ,  Living in Gavigan sucks we don't have bed bugs or fire drills.. Like why is Condron getting all the attention #notfair #sarcasm
  like ,  Basically every tweet I see I'm like wow glad you decided to share #sarcasm
  like ,  Some people can't take jokes like God damn! #sarcasm #ismything
  like ,  @HurricanesMUT @EASPORTS_MUT behind me in line man
  like ,  Yeah
  like ,  Set a new personal record with 20 likes on a instagram pic.  Woohoo I'm famous.   #sarcasm
  like ,  Appears that #OhioState lineman like cheap shots...  Wouldn't have seen that coming from a #buckeye...  #sarcasm
  like ,  @xxxkathryn absolute guru you like #sarcasm #stressing
  like ,  Like if him being hurt was really a reason. -_- hurt? Sure. - #sarcasm
  like ,  Nothing quite like the magic &amp; conversation in an urgent care waiting room. #sarcasm
  like ,  @dusty_estey.  I feel like im getting sick thats just awesome #Sarcasm
  like ,  Nothing like the good old do something useful with your life and you can't stand on your own to calm the nerves before bed. #sarcasm
  like ,  This is a total change for this year me sitting in my room just like last year and listening to music wow how things change !! #sarcasm
  like ,  ya know what? I like it when the hall is empty but everyone needs to be so close to me as to swipe my laptop as they walk by. #sarcasm
  like ,  I really like sports. Scrolling through a newsfeed filled with a bunch of nonsense sports jargon is my favorite thing. #sarcasm
  like ,  Mmm...it's like a scene from Silent Hill outside.   #fog #pnw #sarcasm
  like ,  Waking up and feeling like crap is exactly how I wanted to start my day. #sarcasm
  like ,  Sleeping on the floor for the next 4 days cus my spine looks like a pretzel #tweakedback #wuddup #sarcasm
  like ,  I'd like to say a big well done to @joemcgrady7 for breaking his laptop by punching the screen
  like ,  My life is just so great right now. Like how could it get any better?! #sarcasm
  like ,  Omg the power went out lol all there is to do is like read a book #ew #yolo #lol  #sarcasm #horrorstoriesinthedark #soundslikefun #letsdoit
  like ,  not like I asked you a question #sarcasm
  like ,  @Shrimpella_.  Just burped and it tasted like ikea meatballs. #tmi ... how u kno wn a girl is into swedish guys #sarcasm #thatswhatshesaid
  like ,  @AngryBlackLady It's heartening that a Prod like Warren knows so much about Jewish customs. #sarcasm
  like ,  I like trying to go for these girls who I like a lot but they hardly even notice me #sarcasm
  like ,  @benpatrick90069 Oh no! It's not like some men(LGBTQ+ or not) like wearing tighter pants! Heaven forbid they think they look good. #Sarcasm
  like ,  It's only been talked about for like a month on all social networking. It def wasn't going to get busted you guys. #Smh #sarcastic
  like ,  @Manyu_S i like your defence !! #sarcasm
  like ,  Might take a leaf out of Cecily  and Gwendolen's book and only like people called Ernest
  like ,  Yo @OfficialKelseyJ that one crazy girl from our religion class that dropped after like a week is in my interim. #great #sarcasm
  like ,  @olivia_carter4 that sounds like a really big deal to me...
  like ,  @Pth10 I found the year book from 5th grade and we look like straight thugs! #sarcasm
  like ,  RT @veganforareason.  I would like a written apology from all 1.6 billion Muslims by noon please...  #Sarcasm!
  like ,  It's not like I wanted to go to the game tonight #sarcasm
  like ,  Nothing like paying a bill first thing in the morning. God
  like ,  Yay
  like ,  Looks like Chicago will finish with over 950 murders in the past 2 years
  like ,  @MidwinCharles They can just get their parents to give them a loan. Like Mitt Romney suggest. It's that easy. #sarcasm
  like ,  @phendrana Wanna sign up? Sounds like a fun organization to be a part of. #sarcasm
  like ,  @parmindernagra I kno right #killemWithKindness haha like that works #sarcasm
  like ,  i TOTALLY love when people like my picture and don't reply. #sarcasm
  like ,  Incredible feeling closing my cost accounting things for the last time. Now I move on to more fun things like Business Law! #sarcasm
  like ,  After a long day
  like ,  @AmberGibson6 sorry but it's more like #Sarcasm
  like ,  Wow like my new license pic is prime. #sarcasm
  like ,  3rd and a mile sure seems like a great time for a swing pass...#sarcasm
  like ,  RT @jonvicremulla.  Sorry to disappoint but it looks like there will be classes tom. #cavite YEHEY! #sarcasm
  like ,  When ppl ask
  like ,  It would be the day where I walk across campus like 4 times that it rains. #perfect #sarcasm
  like ,  @CharlieKramer1 you
  like ,  @espn_durrett let's hope Choice can have a Trout like rookie season. Hahaha
  like ,  Nothings tops off a great day like finding out you got a 40 on your physics midterm! #sarcasm #firstfailin4years #fuckphysics
  like ,  Well
  like ,  @vaalcs @lili_ana_ac girl your like around the corner. Lol #sarcasm
  like ,  @Herman_NYRBlog no
  like ,  my friend is like
  like ,  I'm loving this spot on the end of my nose making me look like Rudolph ... #sarcasm
  like ,  @bayleedesotel that's dope AF!! I wish my family did something like that!!!. ) #no #sarcasm
  like ,  @HammerOfFacts Yeah... that Vin guy has obviously never had a real woman in his life
  like ,  Kays acting like 16 and 20 is a huge difference
  like ,  .@SayMyName2 #dses2013... is this what a leader looks like? #sarcastic #justsaying #teamskeetle http. //t.co/B8XqnIoCWg
  like ,  Looks like Cochran really does love Obamacare #sarcasm http. //t.co/f6rF6KMMS4
  like ,  @VodafoneUK I like the way you tell me my bill and then don't let me check why it's that much
  like ,  its always encouraging when your family treats you like your stupid #icedriveway #noschoolforme #sarcasm
  like ,  I feel like too many people would fall in love with me if they saw me wearing my retainer.. That's why I don't wear it in public. #sarcasm
  like ,  @ShaunaSmash  c'mon
  like ,  @EmilyJMc13 I spend like 3 hours on my hair in the morning ;P hahahaha #Sarcasm
  like ,  Nothing like family to bring you back down to earth. On returning from an early swim session.  Ha ha ha - it's the little mermaid #sarcasm
  like ,  @WendyCOrtiz Gee
  like ,  @mermandaa14.  I like how me and @_jojobee are both on twitter in class on another note! Family relationship class is awesome!  Ha #sarcasm
  like ,  Nothing like the smell of livestock in the morning after a sleepless night to make a great start to the day. #sarcasm
  like ,  3 tests next week sounds like great fun
  like ,  Sounds like Episode 10x11 and 10x12 are all about April's Wedding. What a great way to boost the ratings #sarcastic
  like ,  It's graduation day and I have felt like I am going to vomit all day long! #hoorayanxiety #sarcasm #youreadick
  like ,  I feel like such a dork with this backpack on. It matches my look today SO well.. #sarcasm
  like ,  RT @BeinaSLACKER.  Welp
  like ,  woohoo! I love mornings where i feel like crap!! Greatest feeling in the world! #onlynotreally #sarcasm
  like ,  I love the lyrics to this song.  http. //t.co/aIL4Oq8KkX #sarcasm
  like ,  Sounds like you feel our pain
  like ,  I love it when people act like they don't know what's coming to them. #Sarcasm
  like ,  Feeling neglected by people who have jobs-_- Like
  like ,  Kinky Boots performance is definitely the reason of the decline of America/humanity like a lot of people are saying #sarcasm
  like ,  Nothing like a little last minute Halloween costume shopping; the selection sure is great. #sarcasm
  like ,  Doto is like a glass of water. When there was a bit of tahi into the glass then the whole glass will be a glass of tahi water. #sarcasm
  like ,  It's official.. I look like a sack of potatoes..
  like ,  @morlonbrondo maybe something I'll 'oh wow
  like ,  Like all students involved in @Farnborough6th Concerto Comp a weekend of intense practise begins. Only 12 concerti to master! #easy #sarcasm
  like ,  I feel like death
  like ,  @therickrayshow 
  like ,  RT @AngryBritain.  I feel like bursting into tears too #sarcasm #XFactor
  like ,  Nothing like the grocery store in Christmas Eve eve to get you in the holiday mood #sarcasm
  like ,  nothing like the gym right after school. ). ). ). ). ) #sarcasm
  like ,  Gove says @SimonCowell 's comments are irresponsible and stupid.  Glad educated people like Gove don't make such comments then? #sarcasm
  like ,  You are so cool. Like really
  like ,  Looks like some top notch security around our Capital #sarcasm
  like ,  @Omega_Rex @scobes15 @michaelengel @Royals_Report @jamiewest26 As long as he's not fat
  like ,  I love how you reply to my texts like umm idk 5 years later. #Sarcasm
  like ,  With rates like that
  like ,  I feel like shit.. This should be an awesome day. #yay #sarcasm
  like ,  No one does thanksgiving like the Ruhes #sarcasm
  like ,  Just fyi
  like ,  Guess what
  like ,  I freaking love it when my mom is like this..... #sarcasm
  like ,  @CBSSports how do you have such a technical breakdown from a media giant like you? #sarcasm #WVU
  like ,  o.O taec was like..never seen the real 2pm have you?...that's what he said? #sarcastic
  like ,  well this doesn't look like a trap #sarcasm #TheOriginals
  like ,  @MarkSheppard not strange at all. What do boys care about the girl on the team? And girls don't like comics. #eyeroll #sarcasm
  like ,  Looks like a packed house in Tampa. #sarcasm
  like ,  @meghanlmcdevitt @KlcNAdams I'd like to see you try!! #Sarcasm
  like ,  RT @LabRatsFC.  3rd pro @MLS match
  like ,  When  @oliverdog tells he looks a lot like christian meier and its him #sarcasm #bromista
  like ,  Why must people bring fish for lunch?! No
  like ,  *WAITRESS* would you like a table? *ME* no not at all 
  like ,  I am so exhausted I feel ill.  So glad I get to work 8 hours feeling like this. #sarcasm
  like ,  The cast of The Hunger Games franchise is so lacking in diversity. Like
  like ,  Oh
  like ,  I think I missed the memo instructing me to do a screen shot and tweet out or IG any tweet or 'like I get from a celebrity. #oops #sarcasm
  like ,  I loveee how mfs act like didn't nothing happen!  #sarcasm
  like ,  @RearAdBsBlog @pizzahut I feel like you underestimate the awesomeness of a turkey stuffing cranberry sauce pizza! #sarcasm
  like ,  Let's all pretend like we understand the government better than the president
  like ,  I love college! I wanna stay forever. Greatest memories
  like ,  @mishacollins Well that didn't make King look like a pervy old man at all. #Sarcasm
  like ,  RT @rdunks1.  @thejunglejane It's not like you were going to do anything productive on the Internet today. I know I wasn't #sarcasm
  like ,  I hope when im 30 something I act like a big adult just like you #sarcasm
  like ,  Looks like TC's decision to pinch run Recker worked. No way Centeno would have scored from second #Mets #sarcasm
  like ,  @EzraAmacher @eitancramer would like to have seen Mellon with a stronger urge to attack the rim #sarcasm
  love ,  Calm down people
  love ,  Gotta love when your co-workers stand around and do nothing. Yay. #sarcasm
  love ,  @AlBeastBerube oh good. I love new nicknames. #sarcasm
  love ,  You know how much I love hearing about other peoples kids at work? SO MUCH. #sarcastic #whinge #mondayitis
  love ,  i love living like a 15 yr old at the age of 31...its SUPER #sarcasm
  love ,  I love a good migrane. #sarcasm
  love ,  @FangasmSPN Yeah
  love ,  @ticklemebella ohh well aren't you an innocent one? how exciting to see you soon -.- soo much love #sarcasm
  love ,  I love standing in the bus stop whilst it's raining #sarcasm
  love ,  I love when people are just too ignorant or stupid to realize what they are actually saying... #sarcasm #idiots . /
  love ,  I love it when people tell me why I shouldn't be having my emotions. It's especially great when it's my mom or brother. #sarcasm
  love ,  I love how good Carey makes me feel about myself. #Sarcasm
  love ,  I love when officials affect the outcome of games... #sarcasm
  love ,  I love how fast and responsive Business intelligence development studio is. #sarcasm
  love ,  Don't you just love rainy days walking to class @karliedging?? You looked so happy this morning haha #sarcasm
  love ,  Watching Friday Night Lights drinking coffee.. by myself. I love life right now #sarcasm
  love ,  @Dylan_Ptacek ya dude idk. over-drafted just cuz he's a QB. But you just gotta love his leadership skills! #sarcasm
  love ,  I really love when someone borrows something and doesn't return it. #sarcasm
  love ,  I love that I can hear the movie my brother and his girlfriend are watching through the wall and over my TV that's 5ft away. #sarcasm #rude
  love ,  RT @allyxstebo.  I love when random people with 100k followers follow you #sarcasm
  love ,  I just love how my rules are followed to the letter.  Note heavy #sarcasm
  love ,  I love sitting through an evening stat class when the professor prefaces the lecture material as NOT being on any exam...ever. #sarcasm
  love ,  RT @richardswaggg.  love how all my friends chilled with me this summer #sarcasm
  love ,  @SayenCroWolf I love it when people get their statistics and give a gay person an attribute based on apparent over representation. #sarcasm
  love ,  I just love the fact that my family isolates me and no one answers my texts or snapchats. It's great having no one to talk to. #sarcasm
  love ,  I love it when my phone blows up with texts. #Sarcastic
  love ,  Love love love being lied to. #sarcasm #fuckyou
  love ,  Don't you just love the guy who likes to tell you how dumb you are for playing the lotto every time there's a big jackpot? #Sarcasm #ThatGuy
  love ,  Who doesn't love any reason to watch bill oreilly #yay #sarcasm
  love ,  Love that SEC Defense.... #sarcasm #SugarBowl2014 #RollTide
  love ,  I'm loving this spot on the end of my nose making me look like Rudolph ... #sarcasm
  love ,  Love working in Henley. Never any traffic. #sarcastic #awfulplace #haterowing
  love ,  I absolutely love today #sarcasm
